ID,Name,Height,Weight,Age,Sex,Profession,Salary,Количество Машин
0,Горшков Бенедикт,186.0,78.0,71,м,продавец,310000,1
1,Суворов Эрик,182.0,117.0,80,м,сантехник,61000,1
2,Воронов Модест,192.0,55.0,27,м,преподаватель,266000,2
3,Гусев Макар,193.0,116.0,68,м,продавец,240000,0
4,Соболев Фёдор,165.0,84.0,67,м,автослесарь,226000,0
5,Крюков Макар,189.0,109.0,45,м,врач,47000,1
6,Мухин Евстахий,183.0,55.0,42,м,студент,258000,2
7,Яковлев Федот,184.0,53.0,18,м,сантехник,49000,1
8,Меркушев Валентин,168.0,77.0,69,м,преподаватель,343000,1
9,Петухов Мирон,174.0,71.0,51,м,сантехник,293000,0
10,Бобылёв Зиновий,176.0,89.0,80,м,студент,427000,0
13,Васильев Никола,176.0,55.0,35,м,студент,41000,0
14,Павлов Степан,166.0,108.0,37,м,сантехник,316000,0
15,Нестеров Юрий,176.0,116.0,40,м,инженер,186000,1
16,Хохлов Остап,171.0,65.0,60,м,врач,420000,1
17,Лаврентьев Данил,165.0,113.0,70,м,инженер,460000,0
18,Борисов Аполлинарий,194.0,88.0,37,м,врач,13000,0
20,Романов Август,189.0,114.0,52,м,бухгалтер,29000,1
22,Котов Ринат,182.0,53.0,63,м,врач,425000,0
23,Третьяков Гордей,176.0,116.0,58,м,сантехник,141000,0
24,Ермаков Кирилл,168.0,119.0,50,м,врач,130000,0
25,Зуев Филипп,165.0,82.0,19,м,студент,481000,1
26,Силин Ждан,179.0,64.0,31,м,студент,307000,0
27,Ларионов Артур,172.0,65.0,66,м,студент,170000,0
28,Щербаков Зиновий,167.0,51.0,49,м,преподаватель,431000,0
29,Пестов Арсений,186.0,54.0,77,м,программист,479000,0
30,Громов Остап,173.0,61.0,36,м,автослесарь,22000,0
31,Шаров Ждан,165.0,68.0,62,м,программист,421000,0
32,Смирнов Феликс,178.0,107.0,79,м,продавец,282000,1
33,Зайцев Павел,194.0,107.0,36,м,студент,487000,1
